Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Data Engineer,Data & Analytics,Target Corporation,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Inventory Analyst,Operations & Supply Chain,Target corporation.,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Relationship Banker,Finance & Accounting,TCF Bank,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,IT Support Technician,Software & IT,Tech Desk Minneapolis,Technology & Software,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Technical recruiter,Human Resources,TEKsystems,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Technical Recruiter,Human Resources,TEKsystems,Professional Services & Consulting,Maryland
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Specialist,Marketing & Communications,Tessellation Consulting,Professional Services & Consulting,Minnesota
Individualized,SOCIAL SCIENCES & HUMANITIES,Social Sciences,School of Engineering,Bachelor's Degree,2024,Tetra Tech Field Archaeologist,Engineering,Tetra Tech,"Construction, Engineering & Real Estate",California
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Paralegal,Legal,Texas RioGrande Legal Aid,Government & Public Service,Texas
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,School of Engineering,Bachelor's Degree,2024,Project Management Consultant,Consulting & Advisory,"THE ASPEN UTILITY COMPANY, LLC",Energy & Utilities,Texas
Environmental Studies,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Environmental Specialist,Operations & Supply Chain,The Bernard Group,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Fixture Project Coordinator,Management & Leadership,"The Bernard Group, Inc.",Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Brandlab fellow marketer,Education & Teaching,The brand lab,Education & Academia,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Behavioral Therapist,Healthcare & Clinical,The bridge autism clinic,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Sales And Leasing Agent,Sales & Business Development,The Bridges & Knoll Apartments,"Construction, Engineering & Real Estate",Massachusetts
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Laboratory Assistant - ECE SEAS,Research & Science,The George Washington University,Education & Academia,District of Columbia
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's Degree,2024,Commercial Real Estate Investment Analyst,Finance & Accounting,"The Great Rivers Company, LLC",Professional Services & Consulting,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Installation Coordinator,Construction & Trades,The Home Depot,Retail & Consumer Products,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,School of Education,Bachelor's Degree,2024,Assurance Associate,Finance & Accounting,RSM US LLP,Financial Services & Insurance,Illinois
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Technical Recruiter,Human Resources,The Judge Group,Professional Services & Consulting,Pennsylvania
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Arts & Sciences,Bachelor's Degree,2024,Youth Specialist,Nonprofit & Social Services,The Link,Government & Public Service,Minnesota
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Consumer Analyst,Government & Public Service,The Office of Minnesota Attorney General Keith Ellison,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Mechanical Design Engineer,Engineering,The Specialty Manufacturing Co.,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Electrical Engineer 1,Engineering,The Toro Company,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Concierge,Government & Public Service,The Waters of Highland Park,Government & Public Service,Arizona
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Licensed Realtor,Real Estate,TheMLSonline.com,"Construction, Engineering & Real Estate",Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Development Representative,Marketing & Communications,Thomson Reuters,Technology & Software,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Research Editor,Marketing & Communications,Thomson Reuters,Technology & Software,Do not live in the United States
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Business Analyst Associate,Software & IT,ThreeBridge,Technology & Software,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Mental Health Rehabilitation Worker,Healthcare & Clinical,Thrive Behavioral Network,Government & Public Service,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Financial Advisor,Finance & Accounting,Thrivent,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Associate Representative,Finance & Accounting,Thrivent,Financial Services & Insurance,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,School of Engineering,Bachelor's Degree,2024,Real Estate Agent,Sales & Business Development,Timber Ghost Realty,"Construction, Engineering & Real Estate",Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Marketing Specialist,Marketing & Communications,Timesavers LLC,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Coordinator,Marketing & Communications,TKDA,"Construction, Engineering & Real Estate",Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Administrative Assistant,Administrative & Support,TM Manufacturing,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Software Engineer,Software & IT,Toro/Adecco,Manufacturing & Industrial,Minnesota
COJO Journalism,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Client Services Representative,Finance & Accounting,The Horton Group,Financial Services & Insurance,Illinois
Economics - Public Policy,SOCIAL SCIENCES & HUMANITIES,Economics,Opus College of Business,Bachelor's Degree,2024,Customer Service Specialist,Sales & Business Development,Town & Country Club,Retail & Consumer Products,Minnesota
International Business,BUSINESS & MANAGEMENT,Specialized Business,School of Engineering,Bachelor's Degree,2024,Logistics Coordinator,Operations & Supply Chain,Trabocca,Manufacturing & Industrial,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Finance & Marketing,Finance & Accounting,"Tradition Wealth Management, LLC",Financial Services & Insurance,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Arts & Sciences,Bachelor's Degree,2024,Sports performance coach,Design & Creative,Training HAUS,Healthcare & Medical,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Substance Use Disorder (SUD) Specialist,Government & Public Service,Transformation House,Government & Public Service,Wisconsin
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Technology Leadership Development Program,Finance & Accounting,Travelers,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Underwriter Development Program,Finance & Accounting,Travelers,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Claim Intern,Finance & Accounting,Travelers,Financial Services & Insurance,New York
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Business Intelligence Consultant,Data & Analytics,Travelers Insurance,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Logistics Specialist,Operations & Supply Chain,Trinity Logistics,Professional Services & Consulting,Delaware
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Quality Assurance Associate,Operations & Supply Chain,Trissential,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Personal Banker 1,Finance & Accounting,Trustone Financial,Financial Services & Insurance,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Ophthalmic Technician,Engineering,"TWIN CITIES EYE SPECIALISTS, LLC",Healthcare & Medical,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Medical Scribe,Healthcare & Clinical,Twin Cities Orthopedics,Healthcare & Medical,Minnesota
COJO Journalism,COMMUNICATION & MEDIA,Journalism & Media,Opus College of Business,Bachelor's Degree,2024,Digital and Social Media Coordinator,Marketing & Communications,Twin Cities Orthopedics,Healthcare & Medical,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Clinical Assistant,Healthcare & Clinical,Twin Cities Spine Center,Healthcare & Medical,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Health,Bachelor's Degree,2024,Primary relationship manager,Management & Leadership,U.S. Bank,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Financial Analyst,Finance & Accounting,U.S. Bank,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Commercial Banking Associate,Finance & Accounting,U.S. Bank,Financial Services & Insurance,Colorado
Economics - International,SOCIAL SCIENCES & HUMANITIES,Economics,College of Arts & Sciences,Bachelor's Degree,2024,AML Analyst,Finance & Accounting,U.S. Bank,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Program Manager,Management & Leadership,U.S. Bank,Financial Services & Insurance,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Bachelor's Degree,2024,Information Security Specialist,Software & IT,U.S. Bank,Financial Services & Insurance,Minnesota
COJO Journalism,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Congressional Intern and Communications Director,Marketing & Communications,U.S. House of Representatives and Kevin Reich for Wars 1,Government & Public Service,
Leadership & Management,BUSINESS & MANAGEMENT,General Management,College of Arts & Sciences,Bachelor's Degree,2024,Account Representative,Software & IT,Uber,Technology & Software,California
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Uber Driver,Software & IT,Uber,Technology & Software,Florida
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Health,Bachelor's Degree,2024,Orthodontic Laboratory Technician,Healthcare & Clinical,Udell Dental Laboratory,Healthcare & Medical,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Graduate Engineer,Engineering,Ulteig,Energy & Utilities,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Computer Numerical Control Machinist,Operations & Supply Chain,United Gear & Assembly,Manufacturing & Industrial,Wisconsin
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Sourcing and Procurement Analyst,Operations & Supply Chain,United Health Group,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Sales Development Program,Sales & Business Development,United Health Group,Healthcare & Medical,Minnesota
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,Opus College of Business,Bachelor's Degree,2024,Talent Acquisition Service Advisor,Consulting & Advisory,United Health Group,Healthcare & Medical,Minnesota
