Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Criminal Justice,Consumer Analyst,The Office of Minnesota Attorney General Keith Ellison,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Design Engineer,The Specialty Manufacturing Co.,Opus College of Business,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Electrical Engineer 1,The Toro Company,Opus College of Business,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Concierge,The Waters of Highland Park,Opus College of Business,Bachelor's Degree,Arizona,2021
Financial Management,Licensed Realtor,TheMLSonline.com,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Development Representative,Thomson Reuters,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Political Science,Research Editor,Thomson Reuters,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Operations Management,Business Analyst Associate,ThreeBridge,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Mental Health Rehabilitation Worker,Thrive Behavioral Network,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Advisor,Thrivent,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Associate Representative,Thrivent,Opus College of Business,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Real Estate Agent,Timber Ghost Realty,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Specialist,Timesavers LLC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Coordinator,TKDA,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Administrative Assistant,TM Manufacturing,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Software Engineer,Toro/Adecco,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Journalism,Client Services Representative,The Horton Group,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Economics - Public Policy,Customer Service Specialist,Town & Country Club,Opus College of Business,Bachelor's Degree,Minnesota,2021
International Business,Logistics Coordinator,Trabocca,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Finance & Marketing,"Tradition Wealth Management, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Exercise Science,Sports performance coach,Training HAUS,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Substance Use Disorder (SUD) Specialist,Transformation House,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Operations Management,Technology Leadership Development Program,Travelers,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Underwriter Development Program,Travelers,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Claim Intern,Travelers,School of Engineering,Bachelor's Degree,New York,2021
Financial Management,Business Intelligence Consultant,Travelers Insurance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Logistics Specialist,Trinity Logistics,College of Arts & Sciences,Bachelor's Degree,Delaware,2021
Electrical Engineering,Quality Assurance Associate,Trissential,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Personal Banker 1,Trustone Financial,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Ophthalmic Technician,"TWIN CITIES EYE SPECIALISTS, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Medical Scribe,Twin Cities Orthopedics,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Journalism,Digital and Social Media Coordinator,Twin Cities Orthopedics,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Clinical Assistant,Twin Cities Spine Center,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Primary relationship manager,U.S. Bank,College of Health,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,U.S. Bank,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Commercial Banking Associate,U.S. Bank,Opus College of Business,Bachelor's Degree,Colorado,2021
Economics - International,AML Analyst,U.S. Bank,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Program Manager,U.S. Bank,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Information Security Specialist,U.S. Bank,School of Engineering,Bachelor's Degree,Minnesota,2021
COJO Journalism,Congressional Intern and Communications Director,U.S. House of Representatives and Kevin Reich for Wars 1,College of Arts & Sciences,Bachelor's Degree,,2021
Leadership & Management,Account Representative,Uber,College of Arts & Sciences,Bachelor's Degree,California,2021
Gen Business Mgmt,Uber Driver,Uber,Opus College of Business,Bachelor's Degree,Florida,2021
Neuroscience,Orthodontic Laboratory Technician,Udell Dental Laboratory,College of Health,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Graduate Engineer,Ulteig,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Computer Numerical Control Machinist,United Gear & Assembly,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Operations Management,Sourcing and Procurement Analyst,United Health Group,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales Development Program,United Health Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Talent Acquisition Service Advisor,United Health Group,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Associate Actuarial Analyst,United Healthcare,Opus College of Business,Bachelor's Degree,Minnesota,2021
Operations Management,Process Improvement Project Manager,United HealthCare,College of Health,Bachelor's Degree,Minnesota,2021
Economics,Underwriter,United Healthcare,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Emergency Department Tech,United Hospital,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Business development manager,United Human Resources,Opus College of Business,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Electronics Engineer,United Launch Alliance,Opus College of Business,Bachelor's Degree,Colorado,2021
Intl Studies - Pol Sci,Intelligence Officer,United States Air Force,School of Engineering,Bachelor's Degree,Texas,2021
Leadership & Management,Acquisitions Officer,United States Space Force,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales Agent,UnitedHealth Care,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Sales Representative,UnitedHealth Group,School of Engineering,Bachelor's Degree,Minnesota,2021
Operations Management,Sourcing and Procurement Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales Associate,UnitedHealth Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Associate,UnitedHealth Group,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Associate,UnitedHealth Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Advisory Service Analyst (Consulting Development Program),UnitedHealth Group,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales Development Program at United HealthGroup,UnitedHealth Group,College of Arts & Sciences,Bachelor's Degree,Colorado,2021
Gen Business Mgmt,Advisory Services Analyst,UnitedHealth Group,College of Health,Bachelor's Degree,Minnesota,2021
Financial Management,M&R Sales Agent,UnitedHealthcare,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,UnitedHealthcare,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Product Development Analyst,UnitedHealthcare,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Portfolio Sales Agent,UnitedHealthcare,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Accountant,UnitedHealthcare,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Middle/Secondary Education,Middle School Social Studies Teacher,Universal Academy Charter School,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Persuasion/Soc Influence,Admissions Counselor,University of Colorado Boulder,College of Health,Bachelor's Degree,Colorado,2021
Actuarial Science,Teaching Assistant,University of Minnesota,Opus College of Business,Bachelor's Degree,Minnesota,2021
Neuroscience,Disability Resource Center Administrative Fellow,University of Minnesota,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Researcher 1,University of Minnesota Department of Medicine,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Chemistry,lab Manager,university of st Thomas,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Specialist,University of St. Thomas,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Athletic Facilities Support,University of St. Thomas,Opus College of Business,Bachelor's Degree,Minnesota,2021
Justice & Peace Studies,"Administrative Assistant, Academic Counseling",University of St. Thomas,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Concession Stand Attendant,University of St. Thomas,School of Education,Bachelor's Degree,Minnesota,2021
COJO Journalism,Assistant Dance Team Coach,University of St. Thomas,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Engineering Teaching Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Groundskeeper,University of St. Thomas,College of Arts & Sciences,Bachelor's Degree,California,2021
Entrepreneurship,Project Data Analyst Assitant,University of St. Thomas,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Summit MarketPlace Worker,University of St. Thomas,Opus College of Business,Bachelor's Degree,Minnesota,2021
Music - Performance,Administrative Assistant,University of St. Thomas Graduate Music,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology of Global Health,Graduate Assistant,University of Texas Health Science Center,School of Education,Bachelor's Degree,Texas,2021
Financial Management,Amazon Delivery Associate,Urban Logistics LLC,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,,US air force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Jr. Mortgage Loan Officer,US Bank,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,US Bank,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Business,Securities Specialist,US Bank,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Business Operations Specialist,US Bank,School of Education,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Aviation Electrician,US Navy,College of Health,Bachelor's Degree,Minnesota,2021
Economics - Mathematical,Naval Aviator,US Navy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,RPA Pilot,USAF,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Pilot,USAF,College of Arts & Sciences,Bachelor's Degree,South Carolina,2021
Mathematics (Applied Track),Data Analyst,Utilimarc,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Research Analyst,Utopia Limited,Opus College of Business,Bachelor's Degree,Minnesota,2021
Statistics,Catastrophe Risk Analyst,Validus Research Inc.,College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2021
Accounting,Staff Accountant,VEIT,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Account Manager,Vendi,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Actuarial Science,Insurance Services Office Representative,Verisk,College of Health,Bachelor's Degree,New Jersey,2021
Philosophy,Patient Care Coordinator,"Vireo Health, Inc.",School of Engineering,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Sustainable Energy Intern,VIRESCO AD LLC,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Health Promotion & Wellness,Performance Coordinator,Viverant,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Exercise Science,Performance Coordinator,Viverant,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Founder,Total Mind Solutions,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Biochemistry,Pharmacy Technician,Walgreens,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biochemistry,Pharmacy Technician,Walgreens,Opus College of Business,Bachelor's Degree,Illinois,2021
Neuroscience,Certified Pharmacy Technician,Walgreens Pharmacy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),Teacher,Waterloo school district,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Marketing Management,Account manager,Wei laboratories,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Home mortgage consultant,Wells Fargo,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Technology Associate,Wells Fargo,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Legal Studies,Correspondent Operations Production Specialist III,Wells Fargo,School of Engineering,Bachelor's Degree,Minnesota,2021
Economics - Business,Data Analytics Technology Associate,Wells Fargo,School of Engineering,Bachelor's Degree,California,2021
Actuarial Science,Mortgage Consultant,Wells Fargo,College of Health,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Home Mortgage Consultant,Wells Fargo,College of Arts & Sciences,Bachelor's Degree,California,2021
